Departamento,Municipio,total_obs,total_hab,votos_si,votos_no,votos_validos,votos_nomarcados,votos_nulos
AMAZONAS,EL ENCANTO,223,743,170,51,221,0,2
AMAZONAS,LA CHORRERA,366,1030,300,62,362,1,3
AMAZONAS,LA PEDRERA,216,1008,189,25,214,1,1
AMAZONAS,LA VICTORIA,5,18,4,1,5,0,0
AMAZONAS,LETICIA,8990,34592,4403,4463,8866,40,84
AMAZONAS,MIRITI PARANA,96,477,89,7,96,0,0
AMAZONAS,PUERTO ALEGRIA,59,259,52,5,57,1,1
AMAZONAS,PUERTO ARICA,119,405,97,22,119,0,0
AMAZONAS,PUERTO NARIÑO,1153,4317,830,274,1104,32,17
AMAZONAS,PUERTO SANTANDER,143,642,125,16,141,0,2
AMAZONAS,TARAPACA,344,1304,265,68,333,7,4
ANTIOQUIA,ABEJORRAL,3647,15274,1296,2105,3401,194,52
ANTIOQUIA,ABRIAQUI,572,1938,213,332,545,14,13
ANTIOQUIA,ALEJANDRIA,1735,4577,966,696,1662,51,22
ANTIOQUIA,AMAGA,6370,22028,2084,4139,6223,53,94
ANTIOQUIA,AMALFI,3818,16928,1310,2304,3614,132,72
ANTIOQUIA,ANDES,9093,34842,3193,5729,8922,78,93
ANTIOQUIA,ANGELOPOLIS,1589,5679,553,1004,1557,9,23
ANTIOQUIA,ANGOSTURA,1935,9154,705,1089,1794,57,84
ANTIOQUIA,ANORI,2984,11144,1764,953,2717,227,40
ANTIOQUIA,ANTIOQUIA,5495,19732,2041,3300,5341,52,102
ANTIOQUIA,ANZA,1150,5715,363,740,1103,31,16
ANTIOQUIA,APARTADO,27961,89196,14195,12936,27131,352,478
ANTIOQUIA,ARBOLETES,5866,21448,3691,1937,5628,181,57
ANTIOQUIA,ARGELIA,2065,6627,650,1351,2001,41,23
ANTIOQUIA,ARMENIA,1026,4844,301,676,977,23,26
ANTIOQUIA,BARBOSA,13430,38541,4200,8666,12866,287,277
ANTIOQUIA,BELLO,121850,318411,43642,76122,119764,509,1577
ANTIOQUIA,BELMIRA,1617,4807,687,897,1584,16,17
ANTIOQUIA,BETANIA,1609,8372,466,1110,1576,11,22
ANTIOQUIA,BETULIA,3023,13377,1005,1919,2924,50,49
ANTIOQUIA,BOLIVAR,5636,24029,1644,3875,5519,57,60
ANTIOQUIA,BRICEÑO,2078,6169,1367,604,1971,62,45
ANTIOQUIA,BURITICA,1406,6829,474,890,1364,22,20
ANTIOQUIA,CACERES,4004,19788,2506,1358,3864,57,83
ANTIOQUIA,CAICEDO,1600,6091,593,921,1514,43,43
ANTIOQUIA,CALDAS,25961,60580,9292,16149,25441,123,397
ANTIOQUIA,CAMPAMENTO,1296,6360,619,604,1223,32,41
ANTIOQUIA,CAÑASGORDAS,4884,13402,1911,2739,4650,113,121
ANTIOQUIA,CARACOLI,1199,4856,578,593,1171,16,12
ANTIOQUIA,CARAMANTA,1417,5231,568,790,1358,33,26
ANTIOQUIA,CAREPA,11733,41461,5327,6057,11384,159,190
ANTIOQUIA,CARMEN DE VIBORAL,16750,33070,5528,10787,16315,163,272
ANTIOQUIA,CAROLINA,1150,4081,464,641,1105,22,23
ANTIOQUIA,CAUCASIA,20911,66133,8801,11495,20296,247,368
ANTIOQUIA,CHIGORODO,12392,44791,6322,5745,12067,138,187
ANTIOQUIA,CISNEROS,3017,11434,1084,1837,2921,33,63
ANTIOQUIA,COCORNA,4864,12965,1647,3006,4653,130,81
ANTIOQUIA,CONCEPCION,1553,4409,572,931,1503,23,27
ANTIOQUIA,CONCORDIA,3184,16027,998,2081,3079,55,50
ANTIOQUIA,COPACABANA,25279,62062,9535,15052,24587,323,369
ANTIOQUIA,DABEIBA,4858,16986,2971,1622,4593,166,99
ANTIOQUIA,DON MATIAS,5381,16576,1371,3898,5269,41,71
